latitude___n,longitude___e
37.71,71.79
24.79,94.08
34.74,72.42
36.56,70.78
25.81,90.25
36.9,71.82
37.38,72.23
34.31,72.11
36.4,70.79
7.88,91.95
22.95,94.31
23.23,92.78
29.85,80.15
21.79,93.55
36.3,71.11
26.27,95.06
23.45,70.15
35.78,68.8
36.87,70.78
26.54,93.01
26.51,92.57
36.61,77.39
7.19,91.9
37.74,69.2
10.45,93.67
37.39,71.56
24.67,92.38
24.6,93.66
36.71,70.57
37.65,72
31.43,75.78
27.75,76.56
26.41,93.34
36.97,70.67
32.59,96.57
36.7,71.22
36.38,70.12
27.99,91.74
37.1,71.51
36.51,70.92
36.26,69.76
30.46,78.1
26.45,93.31
24.69,94.7
24.79,94.5
33.52,72.4
17.25,73.83
13,92.97
7.18,92.47
36.8,70.58
27.66,86.47
31.17,77.55
36.88,70.59
29.82,80.57
27.51,88.78
25.02,94.6
33.26,75.67
11.06,91.76
36.53,70.33
23.82,94.46
36.04,71.67
23.4,70.5
36.5,71.06
23.45,94.62
24.58,94.87
23.84,93.88
34.35,68.61
33.9,69.08
36.56,70.51
25.73,91.9
29.18,77.9
25.32,91.07
30.93,78.02
26.34,93.34
30.95,77.99
22.84,94.17
36.69,70.9
36.51,70.56
34.32,73.86
29.36,94.87
30.89,77.96
24.87,94.28
26.29,93.23
36.37,71.28
25.18,93.95
12.23,92.31
36.66,70.63
30.89,77.95
25.73,74.24
22.73,94.52
31.6,77.25
34.67,73.51
13.15,93.3
13.25,92.15
36.05,69.68
36.63,71.36
23.4,94
24.1,91.9
24,92
25.1,95
24.1,91.9
25.2,94.4
30.3,79.4
28.3,94.1
26.5,95.4
27.6,88.6
24.5,94.8
23.9,93
30.8,78.2
25.5,94.6
25.6,91.7
36.4,71.5
24.8,92.8
26.4,93.5
30.5,79.2
32.6,76.6
27.9,93.8
30.6,79
30.5,79.1
25.2,63.4
26.9,92.9
23.9,91.8
30.5,79.1
25.6,90.8
26.2,92.8
26.6,93
27.3,88.1
23.7,94.5
28.7,96
24.1,93.4
24.1,92.1
28.7,96
27.3,85.9
27.3,85.9
32.3,76.6
24.3,94.2
5.5,90.9
25.2,94.6
35.7,74
26.8,90.5
32.5,76.6
35.9,71.7
25,94.2
8.5,91.9
24.6,72.1
6.4,92.2
32.7,75.6
11.5,92.7
9.9,94
24.9,92.1
25,95.1
27.3,88.6
26.5,93.5
26.1,91.3
26.5,93
14.5,92.9
30.4,79.1
30.7,78.6
27,95.6
23.9,93.9
24.6,93.3
26,91
30.5,79.1
26.1,91.4
25.1,91.5
33.8,76.6
31.6,77.9
12.6,77.4
31.6,77.9
23.4,94.1
25.6,90.6
24.1,93.5
13.8,93.1
27.6,96.3
27.5,96.2
32.9,75.5
24.7,94.5
13.9,92.7
36.4,75.3
23.8,93.8
26.6,93.2
26.3,92.7
27.3,88.2
11.4,94.8
13,93.9
24.9,94.5
32.8,76.3
32.8,76.2
32.8,76.2
28.1,95.1
13.6,94
32.5,76.8
33.9,75.8
23.9,94.3
24.4,94
33.4,73.9
26.7,88.8
32.9,75.5
12.2,92.6
28.8,76.7
25.5,93.9
28.8,76.7
17.1,73.8
17.1,73.8
24,92.1
32.7,74.7
27.8,95.7
30.7,78.4
32.9,76.5
24.1,93.4
27,94.4
27,94.4
24.7,93.9
27.1,92.5
17,73.7
25.7,87.1
24.4,94.2
24.2,93.6
25.1,93.9
23.8,94.4
24.3,94.4
26.5,90
27.4,86.5
27,92.1
25.9,90.3
27.5,92.5
27.3,88.5
34.6,73.5
29.2,95.5
27.1,93.8
30.4,79.2
23.6,94.2
28.8,81.5
30.6,77.7
24.9,95
24.3,91.7
26.8,89.2
25,94.2
24.7,94.1
33.1,76.4
24,92.1
25.2,94.5
26.9,95.8
26.3,93.1
24.1,93.6
26.9,92.3
24.4,93.4
26.8,92.2
6.3,94.9
26.3,91.7
24.4,93.5
13.8,92.9
27.3,96.6
19.5,77.2
32.7,76.3
32.7,76.4
25.9,94.4
26.6,95.4
17.3,73.7
30.5,79.9
29.2,81.1
36,74.3
17.1,73.9
24.9,94.1
26.6,92.7
26,94.5
24.9,93.9
9.2,93
8.2,93.4
10,93.6
25.2,90
36.9,71.7
27.9,96.3
11,94.1
24.4,93.9
12.2,93.1
13.6,91.8
38,144.6
24.3,93.6
25,94.6
34,74.7
32.8,76.2
24.7,94.4
24.4,94.1
26.5,92.8
23.7,92.9
13,92
13,92
28.6,96.1
12.9,91.9
32.5,76.7
25.1,94.5
26.8,89.3
26.8,95.5
12.3,95.2
27.8,96
27.7,96
12.6,91.9
19.8,84.1
33.5,76.1
33.6,75.3
6.3,92.9
14.1,92.7
32.5,76.4
31.3,77.2
36.2,70.5
28.4,76.2
18.1,76.6
29.3,83.1
26.5,92.6
29.9,77.7
24.1,91.2
17.6,73.6
27.1,92.7
29.1,79.2
36,70
24.7,94.3
30.1,95.1
29.9,80.2
26.4,73.8
23.7,94.5
24.6,93.8
30.4,76
27.4,88.3
25.2,93.3
22.7,86.1
35.5,77.6
17.6,73.3
30.4,79.1
25.6,91.6
27.8,85.5
33.3,76.8
34.3,78.8
12.3,93.7
25.6,90.6
26.4,93.7
27.6,94.3
27.4,92.5
10,93.1
23.5,94.1
19.8,73.2
9,77.2
30.4,79.2
26.8,95.9
8.6,92.4
25.5,91
27.3,92.7
19.8,73.1
26.8,92.3
24.8,94
6.6,95.2
26,92.3
26.1,92.1
26.3,92.8
24.7,94.7
25.7,90.4
32.1,75.7
18.4,94
12.2,92.3
36.5,70.7
17.3,73.9
24,94.3
26.3,89.8
17.3,73.8
21,70.6
8.3,91.7
25.9,90.3
37.4,69.6
37.4,69.6
17.3,73.9
24.3,93.2
30.8,78.1
12.3,93
27.3,92.5
22.8,93.1
33.1,75.6
6.1,92.6
26.2,92.9
26.8,92.7
27.2,92.4
24,93.5
17.3,73.8
26.5,93.4
6.8,93.5
35.7,76.1
25.2,93.7
33.2,76.1
24.5,93.4
26.3,89.6
36.4,70.7
23.2,70.8
29.7,80.1
25,94.5
24.2,82.6
8.4,91.4
21.5,73.2
24.6,93.1
13.2,92.4
28.8,76.9
23.1,94.4
25.4,88.8
29.2,76.8
36.9,71.3
36.5,71
25.2,92.6
32.3,76.6
6.9,94.5
7,94
26.5,93.2
31.6,78.4
31.1,77.8
31.8,78.4
29.7,80.7
26.5,93.6
10,93.9
31.6,78.2
8.6,94.3
36.5,71
27.2,96.8
23.8,94.3
29.4,81.6
35.3,78.5
30.6,78.8
34.4,78
26.2,92.5
35.4,73.6
32.5,76.1
30.8,78.2
31.4,77.7
27.5,88.4
30,70.2
35.8,78.6
24.7,94.1
27.3,88
27.3,87.9
7.4,94.6
23.9,93.9
32.9,76.1
26,93.6
23.8,94.5
32.8,76
27.3,88.6
27.7,84.9
28.9,77
